TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,40,114,71,28
Task_2,21,57,44,25
Task_3,45,81,64,10
Task_4,71,90,78,99
Task_5,92,58,60,20
Task_6,36,107,90,31
Task_7,21,198,38,56
Task_8,72,52,99,43
Task_9,33,121,81,70
Task_10,14,145,42,82
Task_11,48,90,15,85
Task_12,96,54,80,73
Task_13,47,136,98,59
Task_14,76,146,97,64
Task_15,1,134,51,58
Task_16,20,128,99,50
Task_17,91,166,100,86
Task_18,80,91,13,15
Task_19,51,106,40,85
Task_20,16,114,49,27
Task_21,78,144,93,100
Task_22,19,177,55,48
Task_23,43,135,72,66
Task_24,38,147,45,70
Task_25,100,101,100,70
Task_26,83,192,50,21
Task_27,88,184,56,11
Task_28,64,200,96,32
Task_29,26,127,88,39
Task_30,65,137,71,25
Task_31,61,161,100,13
Task_32,74,186,96,91
Task_33,68,63,98,73
Task_34,37,174,10,25
Task_35,12,180,15,48
Task_36,14,134,56,27
Task_37,22,105,84,87
Task_38,82,185,81,90
Task_39,29,161,42,25
Task_40,43,71,84,34
