TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,37,124,27,59
Task_2,27,155,26,60
Task_3,25,121,88,53
Task_4,25,185,57,83
Task_5,69,115,46,97
Task_6,60,69,13,75
Task_7,54,61,50,50
Task_8,65,99,13,71
Task_9,63,126,39,19
Task_10,68,88,53,94
Task_11,29,105,42,36
Task_12,62,107,73,96
Task_13,48,198,75,68
Task_14,35,105,53,45
Task_15,43,136,96,40
Task_16,75,161,20,74
Task_17,21,103,93,33
Task_18,91,161,72,59
Task_19,24,152,31,78
Task_20,10,167,100,57
Task_21,64,176,26,86
Task_22,37,50,54,91
Task_23,94,190,37,75
Task_24,72,118,66,80
Task_25,76,198,29,49
Task_26,93,89,44,25
Task_27,83,137,16,65
Task_28,27,114,30,54
Task_29,28,157,93,34
Task_30,77,101,46,46
Task_31,75,121,71,35
Task_32,28,166,85,34
Task_33,79,152,60,53
Task_34,89,174,68,48
Task_35,13,99,39,97
Task_36,9,157,67,96
Task_37,28,92,59,29
Task_38,78,122,98,29
Task_39,38,112,61,20
Task_40,26,80,15,31
Task_41,64,157,11,86
Task_42,93,137,17,21
Task_43,20,51,20,90
Task_44,38,130,80,95
Task_45,7,200,96,67
Task_46,56,123,56,82
Task_47,6,143,54,62
Task_48,14,167,76,31
Task_49,62,126,53,12
Task_50,29,53,84,41
Task_51,86,129,17,86
Task_52,93,103,61,65
Task_53,54,153,86,25
Task_54,56,132,60,86
Task_55,39,168,33,12
Task_56,38,100,39,68
Task_57,75,126,61,100
Task_58,48,113,94,67
Task_59,16,126,68,96
Task_60,100,64,61,49
Task_61,45,99,35,37
Task_62,90,133,78,93
Task_63,49,163,40,25
Task_64,85,56,27,90
Task_65,47,151,27,78
Task_66,100,91,10,73
Task_67,94,74,16,20
Task_68,21,93,38,90
Task_69,72,70,43,40
Task_70,70,197,77,41
Task_71,1,174,52,49
Task_72,12,141,17,89
Task_73,34,60,39,19
Task_74,99,135,96,34
Task_75,73,100,30,81
Task_76,4,157,59,44
Task_77,77,136,75,35
Task_78,15,87,93,29
Task_79,53,121,57,28
Task_80,53,124,35,92
Task_81,60,162,24,13
Task_82,38,135,43,24
Task_83,72,118,85,55
Task_84,83,60,75,75
Task_85,65,52,79,50
Task_86,88,172,95,24
Task_87,33,95,34,89
Task_88,94,103,98,55
Task_89,58,136,54,84
Task_90,27,73,90,73
Task_91,40,114,31,46
Task_92,65,108,23,30
Task_93,92,98,65,34
Task_94,55,66,34,58
Task_95,42,142,73,61
Task_96,4,72,100,11
Task_97,11,164,98,80
Task_98,90,122,64,91
Task_99,80,144,44,100
Task_100,83,178,71,98
Task_101,58,132,85,95
Task_102,58,142,16,47
Task_103,42,114,81,36
Task_104,48,142,32,26
Task_105,28,200,85,100
Task_106,76,134,77,98
Task_107,70,107,85,98
Task_108,67,71,42,26
Task_109,95,168,96,95
Task_110,83,181,11,41
Task_111,62,103,14,92
Task_112,50,155,22,27
Task_113,25,102,89,45
Task_114,30,89,97,94
Task_115,41,140,19,10
Task_116,99,159,19,67
Task_117,1,113,60,23
Task_118,12,126,30,76
Task_119,91,58,50,68
Task_120,55,140,49,15
Task_121,32,157,90,73
Task_122,66,173,44,100
Task_123,96,50,89,65
Task_124,60,116,46,43
Task_125,91,68,88,19
Task_126,45,120,25,11
Task_127,28,129,90,28
Task_128,19,186,80,55
Task_129,98,180,68,97
Task_130,37,105,93,60
Task_131,12,70,84,32
Task_132,72,177,53,65
Task_133,95,165,82,82
Task_134,3,156,15,53
Task_135,64,87,69,59
Task_136,80,73,85,44
Task_137,80,173,54,83
Task_138,84,111,58,45
Task_139,11,161,63,48
Task_140,12,150,46,88
Task_141,55,114,39,89
Task_142,76,101,20,18
Task_143,13,58,19,49
Task_144,96,97,75,42
Task_145,84,90,57,64
Task_146,38,193,22,19
Task_147,57,98,10,16
Task_148,18,50,75,82
Task_149,73,176,85,48
Task_150,60,78,65,62
Task_151,80,87,30,11
Task_152,70,68,100,14
Task_153,43,192,49,20
Task_154,25,130,17,82
Task_155,79,61,16,39
Task_156,98,120,63,24
Task_157,57,195,16,56
